id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
179882;8903094042753;BKT;AGRIMAX RT 657;440/65R20;141/138;A8/D;TL (bezdęt;;2160;0;67;inne;wielosezonowe 
180047;8903094061570;BKT;RM 500 (steel belted);500/85R24;182/170;A8/A8;TL (bezdęt;;4650;0;;inne;wielosezonowe 
181867;8903094038541;BKT;AGRIMAX FORCE;710/60R30;168;D;TL (bezdęt;;8000;1;223;inne;wielosezonowe 
182218;8903094029242;BKT;FLOT 648 T (WZM);550/45-22.5;166/162;A8/B;TL (bezdęt;20;2200;1;81;leśne;wielosezonowe 
182284;8903094038374;BKT;AGRIMAX RT 855 E;520/85R38(20.8R38);170/B;A8/;TL (bezdęt;;5100;0;204;inne;wielosezonowe 
182367;8903094063420;BKT;AGRIMAX RT 600;710/70R38;178D/181A8;/;TL (bezdęt;;8800;1;;inne;wielosezonowe 
182370;;BKT;LIFTMAX LM81 (NOWOŚĆ);250/70R15;153;A5;TL (bezdęt;;1100;1;;inne;wielosezonowe 
182546;8903094060733;BKT;AGRIMAX V-FLECTO NRO E;VF520/60R28NRO;149;D;TL (bezdęt;;4570;1;około 107 ;inne;wielosezonowe 
182547;8903094062119;BKT;AGRIMAX V-FLECTO NRO E;VF650/60R38NRO;166;D;TL (bezdęt;;8050;1;około 210 ;inne;wielosezonowe 
183045;;BKT;EM 936 (ZESTAW-SET);8.25-20;133;B;TT (dętkow;14;1010;0;34;inne;wielosezonowe 
183335;8903094035816;BKT;Ridemax IT 696;440/80R30(19.6R30);157/153;A8/D;TL (bezdęt;;4740;0;120 kg;inne;wielosezonowe 
183671;8903094055012;BKT;MULTIMAX MP 527 IND E;480/80R26;160/B;A8/;TL (bezdęt;;4529;1;142;inne;wielosezonowe 
183672;8903094052707;BKT;MULTIMAX MP 522 IND E;480/80R26;160/B;A8/;TL (bezdęt;;4400;0;130 kg;inne;wielosezonowe 
183998;8903094044283;BKT;AGRIMAX SIRIO (high speed);710/70R38;171D/168;/E;TL (bezdęt;;9500;1;310;inne;wielosezonowe 
184057;8903094022229;BKT;AGRIMAX FORCE;710/60R34;170;D;TL (bezdęt;;8300;2;244;inne;wielosezonowe 
184174;8903094034321;BKT;RIDEMAX FL 690 STBT;28LR26(750/65R26);176/173;A8/B;TL (bezdęt;;8150;1;235 kg;inne;wielosezonowe 
184292;8903094040742;BKT;AGRIMAX FORCE;;;;;;8145;0;;inne;wielosezonowe 
184294;8903094046010;BKT;AGRIMAX FORCE;;;;;;15500;1;;inne;wielosezonowe 
184643;8903094042562;BKT;AGRIMAX RT 657;;;;;;2180;2;;inne;wielosezonowe 
185201;;BKT;PT - HD;;;;;;380;0;;inne;wielosezonowe 
185268;;BKT;MAGLIFT STD;;;;;;1260;1;;inne;wielosezonowe 
185723;;BKT;MAGLIFT STD;;;;;;440;1;;inne;wielosezonowe 
186211;;BKT;PT - HD;;;;;;1080;1;;inne;wielosezonowe 
187132;;BKT;EARTHMAX SR 30 L3*;;;;;;3630;2;;inne;wielosezonowe 
187563;;BKT;AT 621;;;;;;870;2;;inne;wielosezonowe 
187802;;BKT;MULTIMAX MP 513;;;;;;2280;2;;inne;wielosezonowe 
187940;8903094052691;BKT;AGRIMAX RT 855;;;;;;2430;2;;inne;wielosezonowe 
188369;8903094065097;BKT;RM 500 STBT;;;;;;5200;2;;inne;wielosezonowe 
188914;8903094058563;BKT;AGRIMAX V-FLECTO NRO E;;;;;;9270;2;;inne;wielosezonowe 
189214;8903094059126;BKT;AGRIMAX V-FLECTO NRO;;;;;;6620;2;;inne;wielosezonowe 
189215;8903094065370;BKT;AGRIMAX V-FLECTO NRO;;;;;;7750;2;;inne;wielosezonowe 
189584;;BKT;XL GRIP;;;;;;1600;0;;inne;wielosezonowe 
190042;;BKT;MAGLIFT LIP (QUICK);;;;;;520;2;;inne;wielosezonowe 
191086;8903094039302;BKT;AGRIMAX RT 600 E;;;;;;11050;2;;inne;wielosezonowe 
191128;;BKT;MULTIMAX MP522 IND E (144A8;;;;;;2130;0;;inne;wielosezonowe 
